,Person,SeasonNr,EpisodeID,EpisodeTitle,Scene,ScreenLine
37,JON,1,1,winter is coming,Opening Scene, Don’t look away.
38,NED,1,1,winter is coming,Opening Scene, King of the Andals and the First Men …
39,JON,1,1,winter is coming,Opening Scene, Father will know if you do.
40,NED,1,1,winter is coming,Opening Scene," Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die."
41,JON,1,1,winter is coming,Opening Scene, You did well.
42,NED,1,1,winter is coming,Opening Scene, You understand why I did it?
43,BRAN,1,1,winter is coming,Opening Scene, Jon said he was a deserter.
44,NED,1,1,winter is coming,Opening Scene, But do you understand why I had to kill him?
45,BRAN,1,1,winter is coming,Opening Scene, Our way is the old way?
46,NED,1,1,winter is coming,Opening Scene, The man who passes the sentence should swing the sword.
47,BRAN,1,1,winter is coming,Opening Scene, Is it true he saw the White Walkers?
48,NED,1,1,winter is coming,Opening Scene, The White Walkers have been gone for thousands of years.
49,BRAN,1,1,winter is coming,Opening Scene, So he was lying?
50,NED,1,1,winter is coming,Opening Scene, A madman sees what he sees.
51,JON,1,1,winter is coming,Opening Scene, What is it?
52,THEON,1,1,winter is coming,Opening Scene, Mountain lion?
53,NED,1,1,winter is coming,Opening Scene, There are no mountain lions in these woods.
54,THEON,1,1,winter is coming,Opening Scene, It’s a freak.
55,NED,1,1,winter is coming,Opening Scene, It’s a direwolf.
56,NED,1,1,winter is coming,Opening Scene, Tough old beast.
57,ROBB,1,1,winter is coming,Opening Scene, There are no direwolves south of the Wall.
58,JON,1,1,winter is coming,Opening Scene, Now there are five.
59,JON,1,1,winter is coming,Opening Scene, You want to hold it?
60,BRAN,1,1,winter is coming,Opening Scene, Where will they go? Their mother’s dead.
61,CASSEL,1,1,winter is coming,Opening Scene, They don’t belong down here.
62,NED,1,1,winter is coming,Opening Scene, Better a quick death. They won’t last without their mother.
63,THEON,1,1,winter is coming,Opening Scene, Right. Give it here.
64,BRAN,1,1,winter is coming,Opening Scene, NO!
65,ROBB,1,1,winter is coming,Opening Scene, Put away your blade.
66,THEON,1,1,winter is coming,Opening Scene," I take orders from your father, not you."
67,BRAN,1,1,winter is coming,Opening Scene," Please, father!"
68,NED,1,1,winter is coming,Opening Scene," I’m sorry, Bran."
69,JON,1,1,winter is coming,Opening Scene, Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
70,NED,1,1,winter is coming,Opening Scene," You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
71,BRAN,1,1,winter is coming,Opening Scene, What about you?
72,JON,1,1,winter is coming,Opening Scene, I’m not a Stark. Get on.
73,ROBB,1,1,winter is coming,Opening Scene, What is it?
74,THEON,1,1,winter is coming,Opening Scene," The runt of the litter. That one’s yours, Snow."
75,JAIME,1,1,winter is coming,Opening Scene," As your brother, I feel it’s my duty to warn you"
76,CERSEI,1,1,winter is coming,Opening Scene," And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid."
77,JAIME,1,1,winter is coming,Opening Scene," There was nothing to be afraid of until you told father. [In a whisper, mimicking] We’re Lannisters. Lannisters don’t act like fools."
78,CERSEI,1,1,winter is coming,Opening Scene, What if Jon Arryn told someone?
79,JAIME,1,1,winter is coming,Opening Scene, But who would he tell?
80,CERSEI,1,1,winter is coming,Opening Scene, My husband.
81,JAIME,1,1,winter is coming,Opening Scene," If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn’t know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he’s off fucking boars and hunting whores. Or is it the other way around? And life will go on."
82,CERSEI,1,1,winter is coming,Opening Scene, You should be the Hand of the king.
83,JAIME,1,1,winter is coming,Opening Scene," That’s an honor I can do without. Their days are too long, their lives are too short."
84,CATELYN,1,1,winter is coming,Opening Scene, All these years and I still feel like an outsider when I come here.
85,NED,1,1,winter is coming,Opening Scene, You have five northern children. You’re not an outsider.
86,CATELYN,1,1,winter is coming,Opening Scene, I wonder if the old gods agree.
87,NED,1,1,winter is coming,Opening Scene, It’s your gods with all the rules.
88,CATELYN,1,1,winter is coming,Opening Scene," I am so sorry, my love."
89,NED,1,1,winter is coming,Opening Scene, Tell me.
90,CATELYN,1,1,winter is coming,Opening Scene, There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.
91,NED,1,1,winter is coming,Opening Scene, Your sister. The boy …
92,CATELYN,1,1,winter is coming,Opening Scene, They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.
93,NED,1,1,winter is coming,Opening Scene," He’s coming this far North, there’s only one thing he’s after."
94,CATELYN,1,1,winter is coming,Opening Scene," You can always say no, Ned."
95,CATELYN,1,1,winter is coming,Opening Scene, We need plenty of candles for Lord Tyrion’s chamber. I’m told he reads all night.
96,MAESTER LUWIN,1,1,winter is coming,Opening Scene, I’m told he drinks all night.
97,CATELYN,1,1,winter is coming,Opening Scene, How much could he possibly drink? A man of his … stature.
98,LUWIN,1,1,winter is coming,Opening Scene, We’ve brought up eight barrels of ale from the cellar. Perhaps we’ll find out.
99,CATELYN,1,1,winter is coming,Opening Scene," In any case, candles."
100,JON,1,1,winter is coming,Opening Scene, Why’s your mother so dead-set on us getting pretty for the king?
101,THEON,1,1,winter is coming,Opening Scene," It’s for the queen, I bet. I hear she’s [sleek as a mink?]"
102,ROBB,1,1,winter is coming,Opening Scene, I hear the prince is a right royal prick.
103,THEON,1,1,winter is coming,Opening Scene, Think of all those southern girls he gets to stab with his right royal prick.
104,ROBB,1,1,winter is coming,Opening Scene," Go on, Tommy, shave him good. He’s never met a girl he likes better than his own hair."
105,CATELYN,1,1,winter is coming,Opening Scene," Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!"
106,BRAN,1,1,winter is coming,Opening Scene, I saw the king! He’s got hundreds of people!
107,CATELYN,1,1,winter is coming,Opening Scene, How many times have I told you
108,BRAN,1,1,winter is coming,Opening Scene, But he’s coming right now! Down our road!
109,CATELYN,1,1,winter is coming,Opening Scene, I want you to promise me
110,BRAN,1,1,winter is coming,Opening Scene, I promise.
111,CATELYN,1,1,winter is coming,Opening Scene, D’you know what?
112,BRAN,1,1,winter is coming,Opening Scene, What?
113,CATELYN,1,1,winter is coming,Opening Scene, You always look at your feet before you lie. Run and find your father. Tell him the king is close.
114,CATELYN,1,1,winter is coming,Opening Scene," Where’s Arya? Sansa, where’s your sister?"
115,NED,1,1,winter is coming,Opening Scene," Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA’s helm]"
116,ARYA,1,1,winter is coming,Opening Scene, Move!
117,NED,1,1,winter is coming,Opening Scene, Your Grace.
118,ROBERT,1,1,winter is coming,Opening Scene, You’ve got fat.
119,ROBERT,1,1,winter is coming,Opening Scene, Cat!
120,CATELYN,1,1,winter is coming,Opening Scene, Your Grace.
121,ROBERT,1,1,winter is coming,Opening Scene, Nine years. Why haven’t I seen you? Where the hell have you been?
122,NED,1,1,winter is coming,Opening Scene," Guarding the North for you, Your Grace. Winterfell is yours."
123,ARYA,1,1,winter is coming,Opening Scene, Where’s the Imp?
124,SANSA,1,1,winter is coming,Opening Scene, Will you shut up?
125,ROBERT,1,1,winter is coming,Opening Scene," Who have we here? You must be Robb. (To Sansa) My, you’re a pretty one. (To Arya) Your name is?"
126,ARYA,1,1,winter is coming,Opening Scene, Arya.
127,ARYA,1,1,winter is coming,Opening Scene, That’s Jaime Lannister. The queen’s twin brother.
128,SANSA,1,1,winter is coming,Opening Scene, Would you please shut up.
129,NED,1,1,winter is coming,Opening Scene, My queen.
130,CATELYN,1,1,winter is coming,Opening Scene, My queen.
131,ROBERT,1,1,winter is coming,Opening Scene, Take me to your crypt. I want to pay my respects.
132,CERSEI,1,1,winter is coming,Opening Scene," We’ve been riding for a month, my love. Surely the dead can wait."
133,ROBERT,1,1,winter is coming,Opening Scene, Ned.
134,ARYA,1,1,winter is coming,Opening Scene, Where’s the Imp?
135,CERSEI,1,1,winter is coming,Opening Scene, Where is our brother? Go find the little beast.
136,NED,1,1,winter is coming,Opening Scene, Tell me about Jon Arryn.
137,ROBERT,1,1,winter is coming,Opening Scene," One minute he was fine, and then … Burned right through him, whatever it was. I loved that man."
138,NED,1,1,winter is coming,Opening Scene, We both did.
139,ROBERT,1,1,winter is coming,Opening Scene," He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what."
140,NED,1,1,winter is coming,Opening Scene, Aye.
141,ROBERT,1,1,winter is coming,Opening Scene," Don’t look at me like that. Not his fault I didn’t listen. (They laugh. ROBERT sighs.) I need you, Ned. Down at Kings Landing. Not up here, where you’re no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king."
142,NED,1,1,winter is coming,Opening Scene, I’m not worthy of the honor.
143,ROBERT,1,1,winter is coming,Opening Scene," I’m not trying to honor you. I’m trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it’s not too late. I have a son, you have a daughter. We’ll join our Houses."
144,TYRION,1,1,winter is coming,Opening Scene, Mmh. It is true what they say about the Northern girls.
145,ROS,1,1,winter is coming,Opening Scene, Did you hear the king’s in Winterfell?
146,TYRION,1,1,winter is coming,Opening Scene, I did hear something about that.
147,ROS,1,1,winter is coming,Opening Scene, And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.
148,TYRION,1,1,winter is coming,Opening Scene, And the other brother?
149,ROS,1,1,winter is coming,Opening Scene, The queen has two brothers?
150,TYRION,1,1,winter is coming,Opening Scene, There’s the pretty one. And there’s the clever one.
151,ROS,1,1,winter is coming,Opening Scene, I hear they call him the Imp.
152,TYRION,1,1,winter is coming,Opening Scene, I hear he hates that nickname.
153,ROS,1,1,winter is coming,Opening Scene, Oh? I hear he’s more than earned it. I hear he’s a drunken little lecher into all manner of perversions.
154,TYRION,1,1,winter is coming,Opening Scene, Clever girl.
155,ROS,1,1,winter is coming,Opening Scene," We’ve been expecting you, Lord Tyrion."
156,TYRION,1,1,winter is coming,Opening Scene, Have you?
157,TYRION,1,1,winter is coming,Opening Scene, The gods gave me one blessing.
158,JAIME,1,1,winter is coming,Opening Scene, Don’t get up.
159,ROS,1,1,winter is coming,Opening Scene, M’lord.
160,TYRION,1,1,winter is coming,Opening Scene," Should I explain to you the meaning of a closed door in a whorehouse, brother?"
161,JAIME,1,1,winter is coming,Opening Scene," You’ve much to teach me, no doubt. But our sister craves your attention."
162,TYRION,1,1,winter is coming,Opening Scene," She has odd cravings, our sister."
163,JAIME,1,1,winter is coming,Opening Scene," A family trait. Now, the Starks are feasting us at sundown. Don’t leave me alone with these people."
164,TYRION,1,1,winter is coming,Opening Scene," I’m sorry, I’ve begun the feast a bit early. And this is the first of many courses."
165,JAIME,1,1,winter is coming,Opening Scene," I thought you might say that. But since we’re short on time, (he opens the door; a bevy of whores enter and descend on TYRION) Come on, girls. See you at sundown."
166,TYRION,1,1,winter is coming,Opening Scene, Close the door!
167,ROBERT,1,1,winter is coming,Opening Scene, Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.
168,NED,1,1,winter is coming,Opening Scene, She was my sister. This is where she belongs.
169,ROBERT,1,1,winter is coming,Opening Scene, She belonged with me.
170,ROBERT,1,1,winter is coming,Opening Scene," In my dreams, I kill him every night."
171,NED,1,1,winter is coming,Opening Scene," It’s done, Your Grace. The Targaryens are gone."
172,ROBERT,1,1,winter is coming,Opening Scene, Not all of them.
173,VISERYS,1,1,winter is coming,Opening Scene, Daenerys!
174,VISERYS,1,1,winter is coming,Opening Scene, Daenerys! There’s our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn’t he a gracious host?
175,DAENERYS,1,1,winter is coming,Opening Scene, We’ve been his guests for over a year and he’s never asked us for anything.
176,VISERYS,1,1,winter is coming,Opening Scene," Illyrio is no fool. He knows I won’t forget my friends when I come into my throne. You still slouch. Let me see. (He pulls off her gown.) You have a woman’s body now. (She endures it as he strokes her breast.) I need you to be perfect today. Can you do that for me? You don’t want to wake the dragon, do you?"
177,DAENERYS,1,1,winter is coming,Opening Scene, No.
178,VISERYS,1,1,winter is coming,Opening Scene," When they write the history of my reign, sweet sister, they will say it began today."
179,MAID,1,1,winter is coming,Opening Scene," It’s too hot, my lady."
180,VISERYS,1,1,winter is coming,Opening Scene, Where is he?
181,ILLYRIO,1,1,winter is coming,Opening Scene, The Dothraki are not known for their punctuality.
182,ILLYRIO,1,1,winter is coming,Opening Scene," (Greets them in Dothraki.) May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen."
183,ILLYRIO,1,1,winter is coming,Opening Scene," Come forward, my dear."
184,VISERYS,1,1,winter is coming,Opening Scene, Where’s he going?
185,ILLYRIO,1,1,winter is coming,Opening Scene, The ceremony is over.
186,VISERYS,1,1,winter is coming,Opening Scene, But he didn’t say anything. Did he like her?
187,ILLYRIO,1,1,winter is coming,Opening Scene," Trust me, Your Grace. If he didn’t like her, we’d know."
188,ILLYRIO,1,1,winter is coming,Opening Scene, It won’t be long now. Soon you will cross the Narrow Sea and take back your father’s throne. The people drink secret toasts to your health. They cry out for their true king.
189,VISERYS,1,1,winter is coming,Opening Scene, When will they be married?
190,ILLYRIO,1,1,winter is coming,Opening Scene, Soon. The Dothraki never stay still for long.
191,VISERYS,1,1,winter is coming,Opening Scene, Is it true they lie with their horses?
192,ILLYRIO,1,1,winter is coming,Opening Scene, I wouldn’t ask Khal Drogo.
193,VISERYS,1,1,winter is coming,Opening Scene, Do you take me for a fool?
194,ILLYRIO,1,1,winter is coming,Opening Scene, I take you for a king. Kings lack the caution of common men. My apologies if I’ve given offense.
195,VISERYS,1,1,winter is coming,Opening Scene, I know how to play a man like Drogo. I give him a queen and he gives me an army.
196,VISERYS,1,1,winter is coming,Opening Scene," So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?"
197,DAENERYS,1,1,winter is coming,Opening Scene, I don’t know.
198,VISERYS,1,1,winter is coming,Opening Scene," We go home with an army. With Khal Drogo’s army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that’s what it took."
199,SANSA,1,1,winter is coming,Opening Scene, Do you think Joffrey will like me? What if he thinks I’m ugly?
200,CATELYN,1,1,winter is coming,Opening Scene, Then he is the stupidest prince that ever lived.
201,SANSA,1,1,winter is coming,Opening Scene, He’s so handsome.
202,SANSA,1,1,winter is coming,Opening Scene, When would we be married? Soon or do we have to wait?
203,CATELYN,1,1,winter is coming,Opening Scene, Hush now. Your father hasn’t even said yes.
204,SANSA,1,1,winter is coming,Opening Scene, Why would he say no? He’d be the second most powerful man in the kingdoms.
205,CATELYN,1,1,winter is coming,Opening Scene, He’d have to leave home. He’d have to leave me. And so would you.
206,SANSA,1,1,winter is coming,Opening Scene, You left your home to come here. And I’d be queen someday. Please make father say yes.
207,CATELYN,1,1,winter is coming,Opening Scene, Sansa…
208,SANSA,1,1,winter is coming,Opening Scene," Please, please. It’s the only thing I ever wanted."
209,BENJEN,1,1,winter is coming,Opening Scene, Is he dead yet?
210,JON,1,1,winter is coming,Opening Scene, Uncle Benjen!
211,BENJEN,1,1,winter is coming,Opening Scene, You got bigger. I rode all day. Didn’t want to leave you alone with the Lannisters. Why aren’t you at the feast?
212,JON,1,1,winter is coming,Opening Scene, Lady Stark thought it might insult the royal family to seat a bastard in their midst.
213,BENJEN,1,1,winter is coming,Opening Scene," Well, you’re always welcome on the wall. No bastard was ever refused a seat there."
214,JON,1,1,winter is coming,Opening Scene, So take me with you when you go back.
215,BENJEN,1,1,winter is coming,Opening Scene, Jon…
216,JON,1,1,winter is coming,Opening Scene," Father will let me if you ask him, I know he will."
217,BENJEN,1,1,winter is coming,Opening Scene, The Wall isn’t going anywhere.
218,JON,1,1,winter is coming,Opening Scene, I’m ready to swear your oath.
219,BENJEN,1,1,winter is coming,Opening Scene, You don’t understand what you’d be giving up. We have no families. None of us will ever father sons.
220,JON,1,1,winter is coming,Opening Scene, I don’t care about that.
221,BENJEN,1,1,winter is coming,Opening Scene," You might, if you knew what it meant. … I’d better get inside. Rescue your father from his guests. We’ll talk later."
222,TYRION,1,1,winter is coming,Opening Scene, Your uncle’s in the Night’s Watch.
223,JON,1,1,winter is coming,Opening Scene, What’re you doing back there?
224,TYRION,1,1,winter is coming,Opening Scene, Preparing for a night with your family. I’ve always wanted to see the Wall.
225,JON,1,1,winter is coming,Opening Scene, You’re Tyrion Lannister. The queen’s brother?
226,TYRION,1,1,winter is coming,Opening Scene," My greatest accomplishment. You – you’re Ned Stark’s bastard, aren’t you?"
227,TYRION,1,1,winter is coming,Opening Scene," Did I offend you? Sorry. You are the bastard, though."
228,JON,1,1,winter is coming,Opening Scene, Lord Eddard Stark is my father.
229,TYRION,1,1,winter is coming,Opening Scene," And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you."
230,JON,1,1,winter is coming,Opening Scene, What the hell do you know about being a bastard?
231,TYRION,1,1,winter is coming,Opening Scene, All dwarves are bastards in their fathers’ eyes.
232,BENJEN,1,1,winter is coming,Opening Scene, You at a feast -- It’s like a bear in a trap.
233,NED,1,1,winter is coming,Opening Scene, The boy I beheaded. Did you know him?
234,BENJEN,1,1,winter is coming,Opening Scene," Of course I did. Just a lad. But he was tough, Ned. A true Ranger."
235,NED,1,1,winter is coming,Opening Scene, He was talking madness. Said the Walkers slaughtered his friends.
236,BENJEN,1,1,winter is coming,Opening Scene, The two he was with are still missing.
237,NED,1,1,winter is coming,Opening Scene, A wildling ambush.
238,BENJEN,1,1,winter is coming,Opening Scene, Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.
239,NED,1,1,winter is coming,Opening Scene, Winter is coming.
240,ROBB,1,1,winter is coming,Opening Scene, Uncle Benjen.
241,BENJEN,1,1,winter is coming,Opening Scene, Robb boy. How are ye?
242,ROBB,1,1,winter is coming,Opening Scene, I’m good.
243,CERSEI,1,1,winter is coming,Opening Scene, Yes. Lovely country.
244,CATELYN,1,1,winter is coming,Opening Scene," I’m sure it’s very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time."
245,CERSEI,1,1,winter is coming,Opening Scene," Hello, little dove. But you are a beauty. How old are you?"
246,SANSA,1,1,winter is coming,Opening Scene," Thirteen, Your Grace."
247,CERSEI,1,1,winter is coming,Opening Scene, You’re tall. Still growing?
248,SANSA,1,1,winter is coming,Opening Scene," I think so, Your Grace."
249,CERSEI,1,1,winter is coming,Opening Scene, And have you bled yet?
250,SANSA,1,1,winter is coming,Opening Scene," No, Your Grace."
251,CERSEI,1,1,winter is coming,Opening Scene, And your dress. Did you make it?
252,CERSEI,1,1,winter is coming,Opening Scene, Such talent. You must make something for me.
253,CERSEI,1,1,winter is coming,Opening Scene, I hear we might share a grandchild someday.
254,CATELYN,1,1,winter is coming,Opening Scene, I hear the same.
255,CERSEI,1,1,winter is coming,Opening Scene, Your daughter will do well in the capital. Such a beauty shouldn’t stay hidden up here forever.
256,NED,1,1,winter is coming,Opening Scene, Your pardon.
257,JAIME,1,1,winter is coming,Opening Scene, I hear we might be neighbors soon. I hope it’s true.
258,NED,1,1,winter is coming,Opening Scene," Yes, the king has honored me with his offer."
259,JAIME,1,1,winter is coming,Opening Scene," I’m sure we’ll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale."
260,NED,1,1,winter is coming,Opening Scene, I don’t fight in tournaments.
261,JAIME,1,1,winter is coming,Opening Scene, No? Getting a little old for it?
262,NED,1,1,winter is coming,Opening Scene," I don’t fight in tournaments because when I fight a man for real, I don’t want him to know what I can do."
263,JAIME,1,1,winter is coming,Opening Scene, Well said.
264,SANSA,1,1,winter is coming,Opening Scene, Arya!
265,ROBB,1,1,winter is coming,Opening Scene, Time for bed.
266,NED,1,1,winter is coming,Opening Scene," I’m a Northman. I belong here with you, not down south in that rat’s nest they call a capital."
267,CATELYN,1,1,winter is coming,Opening Scene, I won’t let him take you.
268,NED,1,1,winter is coming,Opening Scene, The king takes what he wants. That’s why he’s king.
269,CATELYN,1,1,winter is coming,Opening Scene," I’ll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.’"
270,NED,1,1,winter is coming,Opening Scene, How did he get so fat?
271,CATELYN,1,1,winter is coming,Opening Scene, He only stops eating when it’s time for a drink.
272,A VOICE,1,1,winter is coming,Opening Scene," It’s Maester Luwin, my lord."
273,NED,1,1,winter is coming,Opening Scene, Send him in.
274,LUWIN,1,1,winter is coming,Opening Scene," Pardon, my lord, my lady. A rider in the night from your sister."
275,NED,1,1,winter is coming,Opening Scene, Stay.
276,CATELYN,1,1,winter is coming,Opening Scene, This was sent from the Eyrie. What’s she doing at the Eyrie? She hasn’t been back there since her wedding.
277,NED,1,1,winter is coming,Opening Scene, What news?
278,CATELYN,1,1,winter is coming,Opening Scene, She’s fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger.
279,NED,1,1,winter is coming,Opening Scene," She’s fresh widowed, Cat. She doesn’t know what she’s saying."
280,CATELYN,1,1,winter is coming,Opening Scene," Lysa’s head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son’s life, if she wasn’t certain her husband was murdered?"
281,LUWIN,1,1,winter is coming,Opening Scene," If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?"
282,CATELYN,1,1,winter is coming,Opening Scene, They murdered the last Hand. Now you want Ned to take the job.
283,LUWIN,1,1,winter is coming,Opening Scene," The king rode for a month to ask Lord Stark’s help. He’s the only one he trusts. You swore the king an oath, my lord."
284,CATELYN,1,1,winter is coming,Opening Scene, He spent half his life fighting Robert’s wars. He owes him nothing. (To NED) Your father and brother rode south once on a king’s demand.
285,LUWIN,1,1,winter is coming,Opening Scene, A different time. Different king.
286,VISERYS,1,1,winter is coming,Opening Scene, When do I meet with the Khal? We need to begin planning the invasion.
287,ILLYRIO,1,1,winter is coming,Opening Scene," If Khal Drogo has promised you a crown, you shall have it."
288,VISERYS,1,1,winter is coming,Opening Scene, When?
289,ILLYRIO,1,1,winter is coming,Opening Scene, When their omens favor war.
290,VISERYS,1,1,winter is coming,Opening Scene, I piss on Dothraki omens. I waited 17 years to get my throne back.
291,ILLYRIO,1,1,winter is coming,Opening Scene, A Dothraki wedding without at least three deaths is considered a dull affair.
292,JORAH,1,1,winter is coming,Opening Scene, A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.
293,DAENERYS,1,1,winter is coming,Opening Scene," Thank you, ser. Are you from my country?"
294,JORAH,1,1,winter is coming,Opening Scene," Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king."
295,ILLYRIO,1,1,winter is coming,Opening Scene," Dragons’ eggs, Daenerys. From the Shadow Lands beyond Asshai. The ages have turned them to stone, but they will always be beautiful."
296,DAENERYS,1,1,winter is coming,Opening Scene," Thank you, Magister."
297,DAENERYS,1,1,winter is coming,Opening Scene," She’s beautiful. … Ser Jorah, I don’t know how to say ‘thank you’ in Dothraki."
298,JORAH,1,1,winter is coming,Opening Scene, There is no word for ‘thank you’ in Dothraki.
299,VISERYS,1,1,winter is coming,Opening Scene, Make him happy.
300,KHAL DROGO,1,1,winter is coming,Opening Scene, No.
301,DAENERYS,1,1,winter is coming,Opening Scene, Do you know the Common Tongue?
302,KHAL DROGO,1,1,winter is coming,Opening Scene, No.
303,DAENERYS,1,1,winter is coming,Opening Scene, Is ‘no’ the only word that you know?
304,KHAL DROGO,1,1,winter is coming,Opening Scene, No.
305,THE HOUND,1,1,winter is coming,Opening Scene," Rough night, Imp?"
306,TYRION,1,1,winter is coming,Opening Scene," If I get through this without squirting from one end or the other, it will be a miracle."
307,THE HOUND,1,1,winter is coming,Opening Scene, I didn’t pick you for a hunter.
308,TYRION,1,1,winter is coming,Opening Scene, The greatest in the land. My spear never misses.
309,THE HOUND,1,1,winter is coming,Opening Scene, It’s not hunting if you pay for it.
310,ROBERT,1,1,winter is coming,Opening Scene, Are you as good with a spear as you used to be?
311,NED,1,1,winter is coming,Opening Scene," No, but I’m still better than you."
