,0,1
Phil Dixon,[],[]
Tyene Sand,[],['House Martell']
Peter Pedrero,[],[]
Griffin's Roost,[],[]
Vardis Egen,['House Egen'],['House Arryn']
Brian Kirk,[],[]
File:Bastille BTS.jpg,[],[]
Rebecca Benson,[],[]
White Harbor,[],[]
Nick Hobbs,[],[]
Tony Christian,[],[]
Assassination of Robert Baratheon,[],[]
Luke Gomes,[],[]
Caitlin Pharro,[],[]
Elections,[],[]
Karen Xuereb,[],[]
de:Der Erste seines Namens (Episode),[],[]
Calvin Heasman,[],[]
Bart the Bear 2,[],[]
Diogo Sales,[],[]
Category:House Stark,[],[]
Maegor's Holdfast,[],[]
File:Mountain_kills_No_One_Ep.jpg,[],[]
Brahm Gallagher,[],[]
Skroth,[],[]
lordship,[],[]
King,[],[]
pl:Ogień i Krew,[],[]
Cleon,[],['Good Masters']
Kaloian Vodenicharov,[],[]
Ben Mahoney,[],[]
Michele Clapton,[],[]
Symun Fossoway,['House Fossoway (disambiguation)'],[]
Imry Florent,['House Florent'],['House Baratheon of Dragonstone']
Podrick_Payne,['House Payne'],"['House Lannister', 'Kingsguard']"
Barra,[],[]
Balon Swann,['House Swann'],['Kingsguard']
"file:Sept of Baelor Destruction Wider Shot, Season 6 Episode 10..jpg",[],[]
Oliver Stockwell,[],[]
Second siege of Riverrun,[],[]
Ellaria Sand,[],"['House Uller', 'House Martell', 'House Targaryen']"
long farewell,[],[]
Gary Oliver,[],[]
Night's Watch man (The Red Woman),[],"[""Night's Watch""]"
iron price,[],[]
Une,[],['House Baratheon']
File:Doreah kills Irri.jpg,[],[]
Nicholas Blane,[],[]
Aerys II Targaryen,['House Targaryen'],[]
ro:Mierla,[],[]
Image:Roose Psychopath Smile.jpg,[],[]
Anya Waynwood,['House Waynwood'],['House Arryn']
303 AC,[],[]
Morgan (Two Swords),[],['House Lannister']
File:Jon-snow-winterfell-ramsay-bolton-fight.jpg,[],[]
File:Crypt S8 Ep3.jpg,[],[]
Patrick McGilligan,[],[]
File:Oberyn Martell.jpg,[],[]
Jazzy de Lisser,[],[]
File:Leaf season 6.jpg,[],[]
pl:Duch Harrenhal,[],[]
Frey pie,[],[]
Fire and Blood,[],[]
Battle of the Blackwater,[],[]
mammoth,[],[]
Neil Chapelhow,[],[]
Tumblestone,[],[]
Zanrush,[],"['Red Temple', 'Volantis']"
File:Catandrobb.png,[],[]
Karl Davies,[],[]
File:Game-of-thrones-home-kit-harington.jpeg,[],[]
Conclave,[],['Order of Maesters']
File:GendryProposes.jpg,[],[]
ro:Zeii vechi și noi,[],[]
Daemon Targaryen,['House Targaryen/House of the Dragon'],"['Small Council', ""City Watch of King's Landing/House of the Dragon"", 'Black Council']"
Portan,[],['House Stark']
Guy List,[],[]
Lord Snow,[],[]
magic,[],[]
knighthood,[],[]
Bianca,[],['Izembaro']
Steffon Baratheon,['House Baratheon'],['House Targaryen']
Maiden,[],[]
Battle at Dragonstone,[],[]
septa,[],[]
Oathkeeper (episode),[],[]
bear,[],[]
mercenary,[],[]
File:Tyrion 1x09.jpg,[],[]
Arna Magnea Danks,[],[]
Richard Ridings,[],[]
ru:Законы богов и людей,[],[]
Image:Eyrie Title Sequence Close.jpg,[],[]
Saul Lockwood,[],[]
ru:Никто (серия),[],[]
File:705 Gendry Warhammer.png,[],[]
Gergely Horpasci,[],[]
Game of Thrones musical themes and motifs#Unsullied theme,[],[]
Temple of the Dosh Khaleen,[],[]
de:Valar Dohaeris (Episode),[],[]
woods witch,[],[]
zh:TV:第四季第一集,[],[]
Gold Cloak 1 (The Wolf and the Lion),[],"[""City Watch of King's Landing""]"
Andy Pilgrim,[],[]
Biter,[],"[""Night's Watch"", 'House Lannister']"
Gilly,[],[]
Costumes/Seven Kingdoms#The Vale of Arryn,[],[]
Patrick Kelly,[],[]
Lino Facioli,[],[]
Kye Mckee,[],[]
Battle of Oxcross,[],[]
Kinvara,[],"['Red Temple', 'Volantis']"
Emun Elliott,[],[]
Douglas Robson,[],[]
Willas Tyrell,['House Tyrell'],[]
Alan Taylor,[],[]
Sarah Franzl,[],[]
Rainwood,[],[]
James Doran,[],[]
Stark soldier (Valar Morghulis),[],['House Stark']
John MacDonald,[],[]
Winterfell,[],[]
Dragonstone (short),[],[]
File:Kinvara_introduced_mereen_the_door.jpg,[],[]
Wikipedia:Father's Day,[],[]
Great ranging,[],[]
File:705 Cersei Lannister.jpg,[],[]
Image:Walk of Punishment.png,[],[]
de:Töte den Jungen (Episode),[],[]
File:Myrcella-ellaria-kiss.png,[],[]
Torrhen Karstark,['House Karstark'],['House Stark']
Orri Páll Dýrason,[],[]
Harry Lloyd,[],[]
Warg,[],[]
Second siege of Meereen#In the books,[],[]
Steve Love,[],[]
Rory McCann,[],[]
Image:Robert's hunting party.jpg,[],[]
Phelim Kelly,[],[]
Great Pyramid,[],[]
Heart tree,[],[]
es:Mhysa,[],[]
Kingdom of the North,[],[]
ru:Бурерожденная,[],[]
zh:TV:第六季第十集,[],[]
Shauna Duggins,[],[]
fr:La Maison,[],[]
File:Davos and Salladhor at Dragonstone.jpg,[],[]
Harren Hoare,['House Hoare'],[]
Funeral,[],[]
Cersei Lannister,"['House Lannister', ""House Baratheon of King's Landing""]",['Small Council']
de:Eidbrecher (Episode),[],[]
Logan Watson,[],[]
File:803 War Map Greyjoy Fleet.png,[],[]
Catelyn Stark,"['House Tully', 'House Stark']",[]
Amy Dawson,[],[]
House Mallister,[],[]
Michael Grennell,[],[]
Baratheon soldier (The Dance of Dragons),[],['House Baratheon of Dragonstone']
Abduction of Lyanna Stark,[],[]
Stiv,[],"[""Night's Watch""]"
Royal Steward,[],"[""House Baratheon of King's Landing""]"
Jafer Flowers,[],"[""Night's Watch"", 'White Walkers']"
Bolton officer,[],['House Bolton']
Maron Greyjoy,['House Greyjoy'],[]
ru:Чёрно-белый дом,[],[]
Category:Episodes directed by Neil Marshall,[],[]
File:Cersei_Little_Finger_Season2.jpg,[],[]
pl:Taniec Smoków (odcinek),[],[]
Hayley McQuillan,[],[]
ja:シーズン5第7話「贈り物」,[],[]
lt:Blood of My Blood,[],[]
"ru:Калеки, бастарды и сломанные вещи",[],[]
house Lannister,[],[]
sept,[],[]
File:Mag charges.jpg,[],[]
Paul Kennington,[],[]
wikipedia:Belfast,[],[]
Matt Faris,[],[]
Jaremy Rykker,['House Rykker'],"[""Night's Watch""]"
Dwarf 4,[],[]
it:Il gioco dei troni,[],[]
fighting pit#Great Games,[],[]
Sack of Mole's Town,[],[]
Protestor,[],[]
Category:Episodes released in 2019,[],[]
Red Wedding,[],[]
File:Margery_and_tommen_blood_of_my_blood.jpg,[],[]
Galbart Glover,['House Glover'],['House Stark']
Indira Varma,[],[]
Chella,[],['Black Ears']
File:Selyse-baratheon-lady-melisandre-640x424.png,[],[]
File:Jon meets Dany Queens Justice s7.jpg,[],[]
The North Remembers,[],[]
Black Lorren,[],['House Greyjoy']
wildfire plot,[],[]
Game of Thrones musical themes and motifs#Jaime's theme,[],[]
pl:Zrodzona z Burzy,[],[]
Bernadette Caulfield,[],[]
Heron White,[],[]
File:All she sees is snow.jpg,[],[]
Rania Zouari,[],[]
Daisy,[],['Petyr Baelish']
File:Giant working S3 Ep1.jpg,[],[]
House Reyne,[],[]
Matt Da Silva,[],[]
File:Kevan_and_Tywin.jpg,[],[]
Sunspear,[],[]
File:Dany and Huisman-Daario.jpg,[],[]
Costumes/Major characters,[],[]
kinslaying,[],[]
Mance Rayder,[],"[""Night's Watch""]"
Needle,[],[]
Lord of Bones,[],"['Mance Rayder', 'White Walkers']"
David Nutter,[],[]
pl:Królewski trakt (odcinek),[],[]
Mark Addy,[],[]
Niko,[],"[""Night's Watch""]"
Ray Nicholas,[],[]
pt-br:Água Negra,[],[]
Little bird (The Mountain and the Viper),[],['Varys']
The Hand of the King,[],[]
Colin Azzopardi,[],[]
Yara Greyjoy#In the books,[],[]
ro:Sărutul focului,[],[]
Urzen,[],['House Greyjoy']
The Wars To Come,[],[]
es:Una corona de oro,[],[]
Arran Topham,[],[]
Wex Pyke,[],"['House Botley', 'House Greyjoy']"
Wolfswood,[],[]
Jeffrey O'Brien,[],[]
Meena Rayann,[],[]
Richard E. Grant,[],[]
The Ghost of Harrenhal,[],[]
File:605 Teleportin' Littlefinger.png,[],[]
es:Misericordia,[],[]
Juliet Reeve,[],[]
pl:Prawa ludzi i bogów,[],[]
zh:TV:第四季第七集,[],[]
Faith Militant 2,[],['Faith Militant']
File:Littlefinger reveal.png,[],[]
File:Jorah leaves meeren.png,[],[]
shadow,[],[]
Pyat Pree,[],"['Warlocks', 'Thirteen']"
fr:Valar Dohaeris,[],[]
ro:Rondul de Est,[],[]
Moe Dunford,[],[]
fr:Le Nord se souvient,[],[]
Costumes/Seven Kingdoms#The North,[],[]
File:S04E10 - Arya (on the ship).png,[],[]
Battle in the ice#In the books,[],[]
Raventree Hall,[],[]
Jacks,[],['House Stark']
ru:Костяной сад (место),[],[]
File:Roose and Ramsay.jpg,[],[]
Souad Faress,[],[]
Cadet branch,[],[]
Neil Frazer,[],[]
Seamus O'Hara,[],[]
Image:Stiv and Osha.jpg,[],[]
File:Hobb's Butcher's Knife.png,[],[]
Kai Martin,[],[]
Ygritte,[],['Mance Rayder']
Donagh Deeney,[],[]
"pl:Niezachwiani, nieugięci, niezłomni",[],[]
File:5x02-01.jpg,[],[]
File:Wights rise.png,[],[]
ru:Его Воробейшество (персонаж),[],[]
Ron Donachie,[],[]
de:Der Prinz von Winterfell (Episode),[],[]
Category:Episodes of Game of Thrones: Season 5,[],[]
de:Der Tanz der Drachen (Episode),[],[]
Lion's Tooth,[],[]
Battle for the Wall,[],[]
File:Screen Shot 2016-05-09 at 1.16.28 AM.png,[],[]
Battle of the Gullet,[],[]
Ryan Stuart,[],[]
Dawn,[],[]
File:707 Bronn Jaime Lannister.jpg,[],[]
es:Danza de dragones,[],[]
Patrick Malahide,[],[]
Eline Powell,[],[]
Shane Roberts,[],[]
File:GOT S6 46.png,[],[]
Harrenhal,[],[]
File:Dany Mother Mhysa.png,[],[]
Dar Salim,[],[]
Mariola Sanz,[],[]
Frances,[],"['Varys', 'Qyburn']"
Darrell D'Silva,[],[]
Jane McGrath,[],[]
Stella Lutz,[],[]
Sarella Sand,[],['House Martell']
Freddie Stroma,[],[]
Philip McClean,[],[]
Great War,[],[]
House of the Undying,[],[]
Woods witch,[],[]
Thenn warg,[],"['Styr', 'Mance Rayder']"
Dom Dumaresq,[],[]
Sian Milne,[],[]
File:Lancel shot 2x09.jpg,[],[]
Michael Nevin,[],[]
kraken,[],[]
Blackwater,[],[]
bastardy,[],[]
Joel Conlan,[],[]
Robert's Rebellion,[],[]
Wikipedia:Sophocles,[],[]
Fabio Santos,[],[]
File:Dany_blood_of_my_blood.jpg,[],[]
Lord Paramount of the Trident,[],[]
Neil Keery,[],[]
battle of King's Landing,[],[]
Reece Noi,[],[]
Stark (wight),['House Stark'],['White Walkers']
Dennis Stokes,[],[]
Stuart Frift,[],[]
de:Der Winter naht (Episode),[],[]
pronunciation guide,[],[]
Bastard Letter#In the books,[],[]
Brant,[],"[""Night's Watch""]"
Katy Bullock,[],[]
File:Theon-and-Sansa-S05E10.jpg,[],[]
Bending the knee,[],[]
Sack of Winterfell,[],[]
Adrack Humble,['House Humble'],['House Greyjoy']
Erol Ismail,[],[]
Ralph R. Clemente,[],[]
Essos,[],[]
Justo Dieguez,[],[]
File:Tormund warns Jon s3e5.jpg,[],[]
Sarine Sofair,[],[]
Category:Episodes directed by Michael Slovis,[],[]
William and James Wilson,[],[]
Fool,[],[]
Michelle MacLaren,[],[]
File:Robb_Wind_MHYSA_new_lightened.jpg,[],[]
Bran Stark,['House Stark'],['Children of the Forest']
Game of Thrones: Season 7,[],[]
fr:Une danse avec les dragons,[],[]
it:Madre misericordiosa,[],[]
Jack Jagodka,[],[]
known world,[],[]
Bastard Letter,[],[]
Paul Monahan,[],[]
Norvos,[],[]
ro:Mama (episod),[],[]
Category:Westerosi,[],[]
Northmen,[],[]
Garry Mountaine,[],[]
File:704 Battle of Tumbleton 6.png,[],[]
Elia Martell,"['House Martell', 'House Targaryen']",[]
Emilio Doorgasingh,[],[]
Yusuf Chaudhri,[],[]
ru:Дракон и волк,[],[]
Eddie Jackson,[],[]
The Rains of Castamere (episode),[],[]
warg,[],[]
Andrew Bicknell,[],[]
Trident,[],[]
Meryn Trant,['House Trant'],['Kingsguard']
Daemon I Blackfyre,"['House Blackfyre', 'House Targaryen', 'Legitimization']",[]
Owen Teale,[],[]
fr:Les Lois des dieux et des hommes,[],[]
Mark Stanley,[],[]
Ornela,[],"['Dosh Khaleen', 'House Targaryen']"
Harpy (Sons of the Harpy),[],"['Great Masters', 'Sons of the Harpy']"
Winterfell girl,[],['House Stark']
Alice Hewkin,[],[]
Kelly Long,[],[]
pl:Bitwa bękartów (bitwa),[],[]
File:Battle of Castle Black.jpg,[],[]
Owen Dickey,[],[]
The Prince of Winterfell,[],[]
File:The Red Woman 01.jpg,[],[]
Brynden Tully,['House Tully'],[]
Image:Bran and Luwin.jpg,[],[]
direwolf,[],[]
File:Sandor demoralised.jpg,[],[]
Olyvar,[],['Petyr Baelish']
Paul Bentley,[],[]
Nikolaj Coster-Waldau,[],[]
Aberdolf Strongbeard,[],"['House Baratheon of Dragonstone', 'House Stark']"
Louis Rolston,[],[]
Adam Turns,[],[]
Jack Roth,[],[]
Hugo Culverhouse,[],[]
ru:Дар,[],[]
Dermot Keaney,[],[]
Wolkan,[],"['Order of Maesters', 'House Bolton', 'House Stark']"
Edric Baratheon,['House Baratheon of Dragonstone'],[]
Costumes/Essos#Free Cities,[],[]
Category:Episodes directed by Daniel Minahan,[],[]
zh:S05E02,[],[]
Faith Militant,[],[]
Nicky Harley,[],[]
Game of Thrones musical themes and motifs#Arya's theme,[],[]
Lalor Roddy,[],[]
File:WhiteRaven.jpg,[],[]
Dean Whatton,[],[]
Dave Judge,[],[]
Nick McKinless,[],[]
Kevin Mahoney,[],[]
Mike Lambert,[],[]
Dareon#In the books,[],[]
Image:305 Always take care of your lady fair.jpg,[],[]
Ian Pead,[],[]
Richard Doubleday,[],[]
Barry O'Connor,[],[]
zh:Valar Dohaeris,[],[]
Rorge,[],"[""Night's Watch"", 'House Lannister']"
Margaery Tyrell's handmaiden,[],['House Tyrell']
File:509 Where did the ships go.jpg,[],[]
File:Lannister army reaches Highgarden s7.JPG,[],[]
Josh Dyer,[],[]
raven,[],[]
Goran Goricki,[],[]
Isaac Heslip,[],[]
Castamere,[],[]
Mord,[],['House Arryn']
es:La mujer roja,[],[]
Tina Maskell,[],[]
Rob Callender,[],[]
Category:Episodes written by Vanessa Taylor,[],[]
Drogon#In the books,[],[]
File:BrienneAndCatelynMeet.jpg,[],[]
House Waynwood,[],[]
Iron Bank of Braavos,[],[]
File:Dany decision.png,[],[]
Jennifer Ehle,[],[]
"File:Daenerys_Targaryen_Sails_to_Westeros,_Season_6_Episode_10_Preview..jpg",[],[]
Sabrina Bartlett,[],[]
Mustapha Touki,[],[]
File:Oathbreaker 20.jpg,[],[]
zh:次子团,[],[]
septon,[],[]
Image:Distant Winterfell.jpg,[],[]
Night's Watch officer,[],"[""Night's Watch""]"
Doom of Valyria,[],[]
Boyd Rankin,[],[]
zh:艰难屯,[],[]
Zoi Gorman,[],[]
ja:ウィンターフェル,[],[]
Gregor Clegane,['House Clegane'],"['House Lannister', 'Kingsguard']"
Battle at the cave of the Three-Eyed Raven,[],[]
File:OldMelisandre.jpg,[],[]
zh:TV:第三季第四集,[],[]
Rob Ostlere,[],[]
de:Zweite Schlacht um Winterfell,[],[]
Tom Brooke,[],[]
Tristan Heanue,[],[]
es:Aguasnegras (serie),[],[]
Jacob Cox,[],[]
Arthur Dayne,['House Dayne'],"['House Targaryen', 'Kingsguard']"
lt:No One,[],[]
Game of Thrones musical themes and motifs#Night King's theme,[],[]
Katrina Gelfand,[],[]
Maron Martell,['House Martell'],['House Targaryen']
zh:TV:第三季第五集,[],[]
fr:La Montagne et la Vipère,[],[]
File:Battle of Castle Black begins.png,[],[]
Lothor Brune,['House Brune'],['House Baelish']
File:Game of Thrones Season 6 14.jpg,[],[]
File:Dickon Randyall Tarly Eastwatch.jpg,[],[]
House Manwoody,[],[]
Three-Eyed Raven,[],['Children of the Forest']
Goldenheart,[],[]
Lubomir Misak,[],[]
kingsmoot,[],[]
Benjen Stark,['House Stark'],"[""Night's Watch"", 'Three-Eyed Raven']"
Mhysa,[],[]
Tower of Joy,[],[]
Frank Blake,[],[]
Rickon Stark,['House Stark'],[]
Charlotte Hope,[],[]
Neven Svalina,[],[]
Category:Individuals narrating Histories & Lore,[],[]
Hugh Yeaman,[],[]
Marko Juraga,[],[]
pt-br:O Norte se Lembra,[],[]
Ghiscari,[],[]
Last dragon,[],['House Targaryen']
New Ghis,[],[]
Patrick Ryan,[],[]
Fintan McKeown,[],[]
Rhaena Targaryen (daughter of Aenys),['House Targaryen'],[]
ja:シーズン4第6話「裁判」,[],[]
ro:Acum rondul lui s-a încheiat,[],[]
pl:Drudzy Synowie,[],[]
Peter Vaughan,[],[]
Alexis Barron,[],[]
Storm's End,[],[]
Walder Rivers,[],['House Frey']
Tyrosh,[],[]
Lordship#Inheritance laws,[],[]
Mark Roper,[],[]
File:Battle of the Bastards 20.jpg,[],[]
Tony Flynn,[],[]
Lucy Hayes,[],[]
pt-br:A Montanha e a Víbora,[],[]
hostage,[],[]
Gerard Jordan,[],[]
File:704 Battle of Tumbleton 15.png,[],[]
File:The Door 35.jpg,[],[]
de:Das Tor (Episode),[],[]
File:Drogon_breathes_fire.jpg,[],[]
wikipedia:Doune Castle,[],[]
File:Ghost_Attacks_a_Wite.jpg,[],[]
Michael Fitzgerald,[],[]
File:Clegane Battle S8 Ep5.jpg,[],[]
Glen Barry,[],[]
ro:Un duşman străvechi,[],[]
miller's wife,[],['House Bolton']
paramour,[],[]
Rhaego,[],[]
Loyal Night's Watch man 1,[],"[""Night's Watch""]"
Juan Carlos Martínez Antuña,[],[]
Margaery Tyrell#In the books,[],[]
Michael Hanna,[],[]
it:Ciò che è morto non muoia mai,[],[]
ro:Copiii,[],[]
File:Sam Desk.jpg,[],[]
Tom Wlaschiha,[],[]
File:Gillys_son_6_ep_3.jpg,[],[]
Matthos Seaworth,['House Seaworth'],['House Baratheon of Dragonstone']
lt:Mother's Mercy,[],[]
Addam Marbrand,['House Marbrand'],['House Lannister']
"File:410 Queen of the Andals, the Rhoynar, and the First Men.jpg",[],[]
ru:Лев и роза,[],[]
Moelle,[],['Faith of the Seven']
File:606 Sea Journey of Samwell and Gilly.png,[],[]
Joe Dempsie,[],[]
Barbrey Dustin,"['House Ryswell', 'House Dustin']",['House Stark']
File:Game-Of-Thrones-S4Ep7-Mockingbird-Review-Kate-Dickie-as-Lysa-Arryn-thrown-out-of-the-moon-door.jpg,[],[]
Rubi Ali,[],[]
Assassinations at the Twins,[],[]
fr:Le Livre de l'Étranger,[],[]
Liang Yang,[],[]
Richard Buick,[],[]
Astapor,[],[]
Game of Thrones musical themes and motifs#Game%20of%20Thrones%20main%20theme,[],[]
Adam Behan,[],[]
House Bolton,[],[]
Mero,[],['Second Sons']
File:GreyWindJaimeFaceToFace.jpg,[],[]
Wikipedia:Novikov's self-consistency principle,[],[]
it:L'ultima notte dei ribelli,[],[]
File:S04E2 - Bran & Hodor.jpg,[],[]
Lady,[],['Sansa Stark']
Image:Robert's last act.jpg,[],[]
Arya_Stark#Death_list,[],[]
Longclaw,[],[]
Vorkoy,[],"[""Night's Watch""]"
Scott Hillier,[],[]
Rhaella Targaryen,['House Targaryen'],[]
File:Aemon 1x09.jpg,[],[]
Dragonpit Summit,[],[]
